,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
285,Another Try,Josh Turner,2008,100,96.0,2.0,1,100,1.0,97,3.0
286,Another Way to Die,"Jack White, Alicia Keys",2008,81,81.0,1.0,1,82,2.0,82,2.0
287,Antidote,Travis Scott,2015,75,16.0,14.0,3,75,1.0,47,26.0
288,Any Ol' Barstool,Jason Aldean,2017,93,52.0,12.0,1,100,18.0,100,18.0
289,Any Other Night,Sharissa,2002,99,72.0,9.0,1,99,1.0,97,14.0
290,Anybody,Young Thug,2018,89,89.0,1.0,1,89,1.0,89,1.0
291,Anyone Else But You,"Michael Cera, Ellen Page",2008,91,91.0,1.0,1,98,2.0,98,2.0
292,Anything,JAY,2000,72,55.0,3.0,2,92,8.0,92,8.0
293,Anything,Jaheim,2002,75,28.0,9.0,1,75,1.0,54,20.0
294,Anything But Mine,Kenny Chesney,2005,83,48.0,11.0,1,100,20.0,100,20.0
295,Anything Could Happen,Ellie Goulding,2012,75,47.0,10.0,1,94,20.0,94,20.0
296,Anything Goes,Florida Georgia Line,2014,76,55.0,14.0,3,98,2.0,79,18.0
297,Anything Goes,Randy Houser,2008,100,92.0,4.0,1,100,1.0,98,5.0
298,Anything Like Me,Brad Paisley,2010,100,48.0,12.0,1,100,1.0,95,19.0
299,Anyway,Martina McBride,2007,99,32.0,12.0,1,99,1.0,81,16.0
300,Anywhere With You,Jake Owen,2013,92,46.0,13.0,1,95,2.0,87,20.0
301,Apeshit,The Carters,2018,13,13.0,1.0,1,97,15.0,97,15.0
302,Apologize,Timbaland,2007,95,2.0,13.0,4,96,4.0,50,47.0
303,Apparently,J. Cole,2015,90,58.0,8.0,1,99,16.0,99,16.0
304,Applause,Lady Gaga,2013,6,4.0,2.0,1,48,23.0,48,23.0
305,Arab Money,Busta Rhymes,2008,90,86.0,2.0,2,97,5.0,96,6.0
306,Are We Cuttin',Pastor Troy,2002,97,96.0,3.0,2,100,5.0,100,5.0
307,Are You Gonna Be My Girl,Jet,2003,73,29.0,19.0,1,73,1.0,45,25.0
308,Are You Gonna Kiss Me Or Not,Thompson Square,2010,92,32.0,14.0,1,92,1.0,53,20.0
309,Are You Happy Now?,Michelle Branch,2003,91,16.0,12.0,3,91,1.0,50,20.0
310,Area Codes,Ludacris,2001,84,24.0,9.0,1,92,17.0,92,17.0
311,Arms,Christina Perri,2011,94,94.0,1.0,1,97,2.0,97,2.0
