,Name,Artists,Year,Debut.rank,Peak.position,Weeks.to.peak,Weeks.at.peak,Lowest.rank,Weeks.to.low,Ending.rank,Total.weeks.on
1106,Danza Kuduro,"Don Omar, Lucenzo",2011,82,82.0,1.0,1,96,4.0,95,5.0
1107,Dare,Gorillaz,2006,97,87.0,2.0,1,100,3.0,96,5.0
1108,Dare,Shakira,2014,95,53.0,4.0,1,100,11.0,100,11.0
1109,Dare You To Move,Switchfoot,2004,64,17.0,12.0,1,64,1.0,49,20.0
1110,Dark Horse,Katy Perry,2013,17,1.0,19.0,4,60,4.0,49,57.0
1111,Dark Knight Dummo,Trippie Redd,2017,72,72.0,1.0,1,100,4.0,98,6.0
1112,Dark Necessities,Red Hot Chili Peppers,2016,67,67.0,1.0,1,100,2.0,100,2.0
1113,Dark Queen,Lil Uzi Vert,2017,92,91.0,2.0,1,92,1.0,91,2.0
1114,Dark Side,Kelly Clarkson,2012,93,42.0,8.0,1,93,1.0,84,15.0
1115,Dark Times,The Weeknd,2015,93,91.0,2.0,1,98,3.0,98,3.0
1116,Darte Un Beso,Prince Royce,2013,78,78.0,1.0,1,98,10.0,95,12.0
1117,Dashboard,Modest Mouse,2007,61,61.0,1.0,1,99,2.0,81,6.0
1118,Daughters,John Mayer,2004,68,19.0,12.0,3,68,1.0,44,23.0
1119,Day Drinking,Little Big Town,2014,87,40.0,16.0,1,100,2.0,82,20.0
1120,Daylight,Maroon 5,2012,77,7.0,10.0,1,77,1.0,47,25.0
1121,Daylight,Matt And Kim,2009,95,95.0,1.0,1,97,2.0,97,2.0
1122,Days Go By,Dirty Vegas,2002,84,14.0,8.0,3,84,1.0,82,20.0
1123,Days Go By,Keith Urban,2004,72,31.0,11.0,1,72,1.0,68,19.0
1124,Days Of Gold,Jake Owen,2013,91,83.0,2.0,1,97,9.0,97,9.0
1125,Dead And Gone,T.I.,2008,76,2.0,11.0,5,99,2.0,50,29.0
1126,Dear Future Husband,Meghan Trainor,2014,94,14.0,19.0,1,99,5.0,46,24.0
1127,Dear Lie,TLC,2000,63,51.0,4.0,1,92,7.0,92,7.0
1128,Deck The Halls,SHeDAISY,1999,97,61.0,3.0,1,97,1.0,61,3.0
1129,Decode,Paramore,2008,34,33.0,8.0,1,92,14.0,92,14.0
1130,Dedicate,Lil Wayne,2018,14,14.0,1.0,1,78,2.0,78,2.0
1131,Dedication,Nipsey Hussle,2019,93,93.0,1.0,1,97,2.0,97,2.0
1132,Dedication To My Ex,Lloyd,2011,81,79.0,3.0,1,96,5.0,96,5.0
1133,Deep Inside,Mary J. Blige,1999,83,63.0,11.0,1,94,15.0,94,15.0
1134,Deep Inside Of You,Third Eye Blind,2000,80,69.0,6.0,1,97,10.0,93,12.0
1135,Defy You,The Offspring,2002,77,77.0,1.0,1,100,11.0,100,11.0
1136,Defying Gravity,Glee Cast,2009,99,31.0,2.0,1,99,1.0,74,3.0
1137,Deja Vu,Beyonce,2006,44,4.0,7.0,1,99,17.0,99,17.0
1138,Deja Vu,J. Cole,2016,7,7.0,1.0,1,100,20.0,100,20.0
1139,Deja Vu,Post Malone,2016,75,75.0,1.0,1,77,2.0,77,2.0
1140,Delicate,Taylor Swift,2018,84,12.0,19.0,2,84,1.0,49,35.0
1141,Delirious,"Steve Aoki, Chris Lake, Tujamo",2014,96,90.0,3.0,1,96,1.0,90,3.0
1142,Dem Boyz,Boyz N Da Hood,2005,97,56.0,4.0,1,97,1.0,96,12.0
1143,Dem Jeans,Chingy,2006,93,59.0,4.0,1,96,8.0,83,9.0
1144,Demons,Imagine Dragons,2013,99,6.0,31.0,4,99,1.0,47,61.0
1145,Demons And Angels,A Boogie Wit da Hoodie,2019,94,90.0,2.0,1,95,3.0,95,3.0
1146,Desert Rose,Sting,2000,98,17.0,16.0,1,98,1.0,49,26.0
1147,Despacito,"Luis Fonsi, Daddy Yankee",2017,88,1.0,17.0,16,88,1.0,34,51.0
1148,Desperate Man,Eric Church,2018,71,68.0,10.0,1,96,13.0,95,15.0
1149,Desperately,George Strait,2004,73,44.0,9.0,1,99,14.0,99,14.0
1150,Dessert,Dawin,2015,89,68.0,7.0,1,100,11.0,100,11.0
1151,Determinate,"Bridgit Mendler, Adam Hicks, Naomi Scott, Hayley Kiyoko",2011,94,51.0,2.0,1,94,1.0,71,3.0
1152,Deuces,Chris Brown,2010,87,14.0,14.0,1,96,2.0,45,27.0
1153,Dey Know,Shawty Lo,2008,94,31.0,9.0,1,94,1.0,80,17.0
1154,Diamond Girl,Ryan Leslie,2008,95,95.0,1.0,2,96,3.0,96,3.0
1155,Diamond In The Back,Ludacris,2004,94,94.0,1.0,2,100,3.0,100,3.0
1156,Diamond Teeth Samurai,YoungBoy Never Broke Again,2018,59,59.0,1.0,1,95,4.0,94,5.0
1157,Diamonds,Rihanna,2012,16,1.0,8.0,3,47,26.0,47,26.0
1158,Diamonds Dancing,"Drake, Future",2015,70,53.0,2.0,1,85,8.0,85,8.0
1159,Diamonds From Sierra Leone,Kanye West,2005,94,43.0,12.0,1,94,1.0,73,19.0
1160,Diary,Alicia Keys,2004,58,8.0,16.0,1,58,1.0,48,28.0
1161,Dibs,Kelsea Ballerini,2015,93,58.0,15.0,1,97,8.0,69,17.0
1162,Diced Pineapples,Rick Ross,2012,89,71.0,10.0,1,99,16.0,99,16.0
1163,Did It For The Girl,Greg Bates,2012,100,66.0,12.0,1,100,1.0,96,16.0
1164,Did It On'em,Nicki Minaj,2011,92,49.0,7.0,1,98,15.0,98,15.0
1165,Did My Time,Korn,2003,38,38.0,1.0,1,94,10.0,94,10.0
1166,Did You Wrong,Pleasure P,2008,97,90.0,2.0,1,97,1.0,96,4.0
1167,Didn't You Know How Much I Loved You,Kellie Pickler,2010,99,97.0,2.0,1,99,1.0,97,2.0
1168,Die A Happy Man,Thomas Rhett,2015,92,21.0,13.0,1,92,1.0,45,30.0
1169,Die For You,The Weeknd,2016,43,43.0,1.0,1,93,3.0,93,3.0
1170,Die In Your Arms,Justin Bieber,2012,17,17.0,1.0,1,92,2.0,92,2.0
1171,Die Young,Ke$ha,2012,13,2.0,9.0,1,50,21.0,50,22.0
1172,Die Young,Roddy Ricch,2019,99,99.0,1.0,2,99,1.0,99,2.0
1173,Differences,Ginuwine,2001,79,4.0,14.0,2,79,1.0,35,30.0
1174,Different For Girls,Dierks Bentley,2016,98,42.0,15.0,1,99,2.0,83,20.0
1175,Dig,Incubus,2007,99,94.0,2.0,2,99,1.0,94,3.0
1176,Dig In,Lenny Kravitz,2001,73,31.0,10.0,2,82,20.0,82,20.0
1177,Digital Dash,"Drake, Future",2015,81,62.0,2.0,1,99,7.0,99,7.0
1178,Dilemma,Nelly,2002,54,1.0,6.0,10,54,1.0,49,27.0
1179,Dip,"Tyga, Nicki Minaj",2018,83,63.0,2.0,1,99,6.0,99,8.0
1180,Dip It Low,Christina Milian,2004,87,5.0,18.0,2,87,1.0,50,30.0
1181,Diplomatic Immunity,Drake,2018,7,7.0,1.0,1,83,3.0,83,3.0
1182,Dirrty,Christina Aguilera,2002,67,48.0,3.0,2,88,20.0,88,20.0
1183,Dirt,Florida Georgia Line,2014,11,11.0,1.0,1,79,20.0,79,20.0
1184,Dirt Off Your Shoulder,JAY,2004,68,5.0,12.0,1,68,1.0,49,26.0
1185,Dirt On My Boots,Jon Pardi,2016,95,37.0,15.0,1,95,1.0,62,20.0
1186,Dirt Road Anthem,Jason Aldean,2011,68,7.0,11.0,1,80,2.0,49,27.0
1187,Dirty Dancer,Enrique Iglesias With Usher,2011,18,18.0,1.0,1,90,12.0,90,12.0
1188,Dirty Laundry,Carrie Underwood,2016,73,48.0,12.0,1,90,16.0,90,16.0
1189,Dirty Little Secret,The All-American Rejects,2005,87,9.0,24.0,3,91,2.0,45,39.0
1190,Disco Inferno,50 Cent,2004,54,3.0,16.0,1,54,1.0,45,28.0
1191,Disease,matchbox twenty,2002,71,29.0,9.0,2,81,20.0,81,20.0
1192,Disturbia,Rihanna,2008,18,1.0,8.0,2,45,37.0,45,37.0
1193,Diva,Beyonce,2009,96,19.0,10.0,1,99,20.0,99,20.0
1194,Dive,Ed Sheeran,2017,49,49.0,1.0,1,85,2.0,85,2.0
1195,Dive In,Trey Songz,2012,93,77.0,5.0,1,99,12.0,99,12.0
1196,Do I,Luke Bryan,2009,86,34.0,12.0,1,86,1.0,74,20.0
1197,Do I Make You Proud,Taylor Hicks,2006,1,1.0,1.0,1,98,8.0,98,8.0
1198,Do I Make You Wanna,Billy Currington,2017,79,47.0,8.0,1,100,18.0,100,19.0
1199,Do I Wanna Know?,Arctic Monkeys,2013,99,70.0,12.0,3,99,1.0,75,20.0
1200,Do It Again,Jay,2000,95,65.0,3.0,2,96,8.0,95,9.0
1201,Do It Again,Pia Mia,2015,86,71.0,6.0,1,87,8.0,85,11.0
1202,Do It Like Me,DLOW,2015,61,45.0,3.0,1,97,15.0,97,15.0
1203,Do It Like You,Diggy,2012,99,80.0,7.0,1,99,1.0,84,8.0
1204,Do It Well,Jennifer Lopez,2007,53,31.0,4.0,1,88,10.0,88,10.0
1205,Do Not Disturb,Drake,2017,60,60.0,1.0,1,86,2.0,86,2.0
1206,Do Re Mi,blackbear,2017,87,40.0,19.0,1,99,4.0,44,25.0
1207,Do That...,Baby,2002,88,33.0,9.0,1,95,20.0,95,20.0
1208,Do The John Wall,Troop 41,2011,81,76.0,5.0,1,98,8.0,98,8.0
1209,Do What U Want,Lady Gaga,2013,13,13.0,1.0,1,95,19.0,95,19.0
1210,Do What You Gotta Do,Garth Brooks,2000,86,69.0,5.0,1,86,1.0,77,6.0
1211,Do You,Ne,2007,100,26.0,10.0,1,100,1.0,83,20.0
1212,Do You Believe Me Now,Jimmy Wayne,2008,96,36.0,8.0,1,96,1.0,96,20.0
1213,Do You Mind,DJ Khaled,2016,94,27.0,16.0,1,95,6.0,57,20.0
1214,Do You Remember,Jay Sean,2009,27,10.0,8.0,1,56,20.0,56,20.0
1215,Do You Want Fries With That,Tim McGraw,2005,90,59.0,8.0,2,90,1.0,75,11.0
1216,Do You Want To,Franz Ferdinand,2005,83,76.0,3.0,1,100,2.0,82,4.0
1217,Do You Want To Build A Snowman?,"Kristen Bell, Agatha Lee Monn, Katie Lopez",2014,65,51.0,14.0,1,84,18.0,84,18.0
1218,Doe Boy Fresh,Three 6 Mafia,2007,85,54.0,5.0,1,98,2.0,89,10.0
1219,Doesn't Mean Anything,Alicia Keys,2009,61,60.0,5.0,1,96,10.0,96,10.0
1220,Doesn't Really Matter,Janet,2000,59,1.0,11.0,3,59,1.0,41,23.0
1221,Doesn't Remind Me,Audioslave,2005,95,68.0,8.0,1,95,1.0,88,11.0
1222,Dog Days Are Over,Florence + The Machine,2010,93,21.0,2.0,2,99,4.0,63,20.0
1223,Doin' What She Likes,Blake Shelton,2014,84,35.0,10.0,1,100,17.0,100,17.0
1224,Doing Too Much,Paula DeAnda,2006,87,41.0,8.0,1,99,16.0,99,16.0
1225,Domino,Jessie J,2011,96,6.0,17.0,1,96,1.0,44,29.0
1226,Don't,Billy Currington,2008,89,52.0,14.0,1,91,19.0,86,20.0
1227,Don't,Bryson Tiller,2015,84,13.0,16.0,1,84,1.0,49,34.0
1228,Don't,Ed Sheeran,2014,46,9.0,21.0,1,91,6.0,38,36.0
1229,Don't Ask Me How I Know,Bobby Pinson,2005,99,88.0,4.0,2,99,1.0,97,7.0
1230,Don't Blink,Kenny Chesney,2007,79,29.0,6.0,1,79,1.0,63,20.0
1231,Don't Bother,Shakira,2005,74,42.0,5.0,1,81,2.0,73,9.0
1232,Don't Call Me Baby,Madison Avenue,2000,98,88.0,11.0,3,98,1.0,97,20.0
1233,Don't Call Me Up,Mabel,2019,97,66.0,8.0,1,97,1.0,90,10.0
1234,Don't Cha,The Pussycat Dolls,2005,95,2.0,16.0,3,95,1.0,41,40.0
1235,Don't Come Out The House,Metro Boomin,2018,38,38.0,1.0,1,95,4.0,95,4.0
1236,Don't Cry,Lil Wayne,2018,5,5.0,1.0,1,91,3.0,91,3.0
1237,Don't Dream It's Over,Sixpence None The Richer,2003,84,78.0,3.0,1,98,6.0,98,6.0
1238,Don't Forget,Demi Lovato,2008,68,41.0,5.0,1,97,9.0,97,9.0
1239,Don't Forget About Us,Mariah Carey,2005,81,1.0,11.0,2,81,1.0,47,21.0
1240,Don't Forget To Remember Me,Carrie Underwood,2006,98,49.0,7.0,1,98,1.0,80,17.0
1241,Don't Go Breaking My Heart,Backstreet Boys,2018,99,63.0,4.0,1,99,1.0,94,10.0
1242,Don't Happen Twice,Kenny Chesney,2001,82,26.0,14.0,1,82,1.0,63,20.0
1243,Don't Hurt Yourself,Beyonce,2016,28,28.0,1.0,1,37,2.0,37,2.0
1244,Don't It,Billy Currington,2015,91,44.0,10.0,1,91,1.0,82,20.0
1245,Don't Judge Me,Chris Brown,2012,95,67.0,8.0,2,95,1.0,86,20.0
1246,Don't Know Why,Norah Jones,2002,78,30.0,25.0,1,78,1.0,45,31.0
1247,Don't Let Me Be Lonely,The Band Perry,2013,97,59.0,9.0,1,98,16.0,98,16.0
1248,Don't Let Me Down,The Chainsmokers,2016,85,3.0,20.0,2,85,1.0,44,52.0
1249,Don't Let Me Get Me,P!nk,2002,60,8.0,10.0,2,60,1.0,49,21.0
1250,Don't Lie,The Black Eyed Peas,2005,81,14.0,5.0,2,94,20.0,94,20.0
1251,Don't Make Me,Blake Shelton,2007,93,79.0,3.0,1,100,6.0,100,6.0
1252,Don't Matter,Akon,2007,79,1.0,9.0,2,79,1.0,48,22.0
1253,Don't Matter To Me,Drake,2018,9,9.0,1.0,1,66,5.0,66,5.0
1254,Don't Mess With My Man,Nivea,2002,99,8.0,19.0,5,99,1.0,45,35.0
1255,Don't Mess With The Radio,Nivea,2001,90,90.0,1.0,2,96,3.0,96,3.0
1256,Don't Mind,Kent Jones,2016,63,8.0,9.0,2,63,1.0,58,20.0
1257,Don't Phunk With My Heart,The Black Eyed Peas,2005,97,3.0,10.0,3,97,1.0,46,24.0
1258,Don't Rush,Kelly Clarkson,2012,97,87.0,3.0,1,97,1.0,87,3.0
1259,Don't Say Goodbye,Paulina Rubio,2002,85,41.0,8.0,1,98,16.0,98,16.0
1260,"Don't Say No, Just Say Yes",Avant,2002,99,96.0,3.0,1,100,4.0,100,4.0
1261,Don't Say You Love Me,M2M,1999,72,21.0,8.0,1,98,11.0,98,12.0
1262,Don't Stop,5 Seconds Of Summer,2014,47,47.0,1.0,1,93,3.0,93,3.0
1263,Don't Stop Believin',Glee Cast,2009,4,4.0,1.0,1,95,6.0,59,7.0
1264,Don't Stop The Music,Rihanna,2007,94,3.0,11.0,4,94,1.0,47,30.0
1265,Don't Stop The Party,Pitbull,2012,89,17.0,12.0,2,99,2.0,76,20.0
1266,Don't Stop The Party,The Black Eyed Peas,2011,93,86.0,3.0,1,93,1.0,88,4.0
1267,Don't Take Your Love Away,Avant,2004,74,37.0,9.0,1,87,18.0,86,20.0
1268,Don't Talk,Jon B,2001,79,58.0,3.0,1,98,14.0,98,14.0
1269,Don't Tell 'Em,Jeremih,2014,89,6.0,16.0,2,89,1.0,47,31.0
1270,Don't Tell Me,Avril Lavigne,2004,65,22.0,13.0,1,65,1.0,56,20.0
1271,Don't Tell Me,Madonna,2000,78,4.0,9.0,2,78,1.0,45,21.0
1272,Don't Think I Can't Love You,Jake Owen,2009,98,57.0,6.0,2,98,1.0,95,15.0
1273,Don't Think I Don't Think About It,Darius Rucker,2008,91,35.0,9.0,2,92,2.0,52,20.0
1274,Don't Think I'm Not,Kandi,2000,66,24.0,9.0,1,66,1.0,41,22.0
1275,Don't Think They Know,Chris Brown,2013,87,81.0,2.0,1,87,1.0,81,2.0
1276,Don't Trust Me,3OH!3,2008,99,7.0,23.0,1,99,1.0,48,37.0
1277,Don't Wait,Dashboard Confessional,2006,80,80.0,1.0,1,96,2.0,89,4.0
1278,Don't Wake Me Up,Chris Brown,2012,89,10.0,18.0,1,89,1.0,48,28.0
1279,Don't Wanna Go Home,Jason Derulo,2011,92,14.0,5.0,1,92,1.0,87,15.0
1280,Don't Wanna Know,Maroon 5,2016,56,6.0,17.0,1,56,1.0,46,27.0
1281,Don't Wanna Try,Frankie J,2003,76,19.0,10.0,3,76,1.0,56,19.0
1282,Don't Worry 'Bout A Thing,SHeDAISY,2005,90,59.0,6.0,1,93,10.0,93,10.0
1283,Don't Ya,Brett Eldredge,2013,95,30.0,12.0,1,95,1.0,95,20.0
1284,Don't You Forget It,Glenn Lewis,2001,98,30.0,16.0,2,98,1.0,53,20.0
1285,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,2010,93,31.0,24.0,1,95,4.0,50,31.0
1286,Don't You Worry Child,Swedish House Mafia,2012,68,6.0,19.0,3,91,2.0,48,33.0
1287,Donald Trump,Mac Miller,2011,80,75.0,6.0,1,99,3.0,83,7.0
1288,Done For Me,Charlie Puth,2018,74,53.0,2.0,1,78,9.0,78,9.0
1289,Dope,Lady Gaga,2013,8,8.0,1.0,1,71,2.0,71,2.0
1290,Dope,Tyga,2013,68,68.0,1.0,1,100,3.0,100,10.0
1291,Double Up,Nipsey Hussle,2019,65,65.0,1.0,1,82,3.0,82,3.0
1292,Double Vision,3OH!3,2010,89,87.0,2.0,2,92,3.0,87,4.0
1293,Down,Fifth Harmony,2017,42,42.0,1.0,1,99,10.0,99,10.0
1294,Down,Jay Sean,2009,72,1.0,14.0,2,78,2.0,48,40.0
1295,Down,Marian Hill,2017,99,21.0,7.0,1,100,17.0,100,17.0
1296,Down,"RKM, Ken",2006,90,90.0,1.0,2,92,2.0,90,3.0
1297,Down In The DM,Yo Gotti,2015,87,13.0,13.0,1,87,1.0,40,21.0
1298,Down On Me,Jeremih,2010,67,4.0,23.0,1,82,3.0,39,33.0
1299,Down The Road,Kenny Chesney With Mac McAnally,2008,85,47.0,12.0,1,98,4.0,98,18.0
1300,Down To The Honkytonk,Jake Owen,2019,80,65.0,13.0,1,84,4.0,65,13.0
1301,Downfall,TRUSTcompany,2002,92,91.0,2.0,2,95,4.0,95,4.0
1302,Downtime,Jo Dee Messina,2001,77,46.0,12.0,1,89,15.0,89,15.0
1303,Downtown,Lady Antebellum,2013,45,29.0,10.0,1,80,20.0,80,20.0
1304,Downtown,"Macklemore, Ryan Lewis",2015,94,12.0,8.0,1,94,1.0,70,20.0
1305,Downtown's Dead,Sam Hunt,2018,98,94.0,2.0,1,98,1.0,94,2.0
1306,Draco,Future,2017,46,46.0,1.0,1,95,5.0,83,8.0
1307,Drag Me Down,One Direction,2015,3,3.0,1.0,1,50,20.0,50,20.0
1308,Drank In My Cup,Kirko Bangz,2012,96,28.0,13.0,4,97,2.0,45,22.0
1309,Dream On,Depeche Mode,2001,85,85.0,1.0,3,94,10.0,94,10.0
1310,Dream On,Glee Cast,2010,26,26.0,1.0,1,92,2.0,92,2.0
1311,Dreamer,Chris Brown,2008,16,16.0,1.0,1,41,2.0,41,2.0
1312,Dreaming With A Broken Heart,John Mayer,2007,99,99.0,1.0,1,100,2.0,100,2.0
1313,Dreams,Diana DeGarmo,2004,14,14.0,1.0,1,91,5.0,91,5.0
1314,Dreams,The Game,2005,97,32.0,7.0,1,97,1.0,91,12.0
1315,Drew Barrymore,Bryce Vine,2018,91,46.0,3.0,1,99,14.0,99,14.0
1316,Drift Away,Uncle Kracker,2003,75,9.0,19.0,1,75,1.0,42,35.0
1317,Drink A Beer,Luke Bryan,2013,79,31.0,15.0,1,84,2.0,68,20.0
1318,Drink In My Hand,Eric Church,2011,96,40.0,8.0,1,96,1.0,52,20.0
1319,Drink On It,Blake Shelton,2012,81,39.0,11.0,1,99,19.0,99,19.0
1320,Drink To That All Night,Jerrod Niemann,2014,90,34.0,13.0,1,90,1.0,71,20.0
1321,Drinkin' Bone,Tracy Byrd,2003,74,60.0,9.0,1,100,16.0,100,16.0
1322,Drinkin' Problem,Midland,2017,97,45.0,16.0,1,97,1.0,93,20.0
1323,Drinking Class,Lee Brice,2014,99,53.0,22.0,1,99,1.0,53,22.0
1324,Drip,Cardi B,2018,21,21.0,1.0,1,96,10.0,96,10.0
1325,Drip Too Hard,"Lil Baby, Gunna",2018,28,4.0,4.0,1,46,35.0,46,35.0
1326,Drive,Alan Jackson,2002,78,28.0,9.0,1,78,1.0,55,20.0
1327,Drive,Incubus,2001,75,9.0,24.0,1,75,1.0,48,39.0
1328,Drive By,Train,2012,60,10.0,18.0,2,83,2.0,45,36.0
1329,Drop It Like It's Hot,Snoop Dogg,2004,51,1.0,11.0,3,51,1.0,40,30.0
1330,Drop It Low,Ester Dean,2009,94,38.0,6.0,2,99,15.0,86,17.0
1331,Drop The World,Lil Wayne,2010,18,18.0,1.0,1,86,9.0,75,20.0
1332,Drops Of Jupiter,Train,2001,77,5.0,15.0,2,77,1.0,47,53.0
1333,Drowning,A Boogie Wit da Hoodie,2017,94,38.0,16.0,1,94,1.0,46,21.0
1334,Drowns The Whiskey,Jason Aldean,2018,85,32.0,10.0,1,100,16.0,100,19.0
1335,Drugs Or Jesus,Tim McGraw,2005,97,87.0,7.0,1,97,1.0,92,9.0
1336,Drummer Boy,Justin Bieber,2011,99,86.0,2.0,1,99,1.0,86,2.0
1337,Drunk Girl,Chris Janson,2018,86,79.0,10.0,1,97,6.0,79,10.0
1338,Drunk In Love,Beyonce,2014,12,2.0,7.0,1,51,20.0,51,20.0
1339,Drunk Last Night,Eli Young Band,2013,79,41.0,14.0,1,84,2.0,63,20.0
1340,Drunk Me,Mitchell Tenpenny,2018,100,39.0,21.0,1,100,1.0,39,21.0
1341,Drunk On A Plane,Dierks Bentley,2014,91,27.0,10.0,2,91,1.0,71,20.0
1342,Drunk On You,Luke Bryan,2011,79,16.0,14.0,4,99,2.0,48,24.0
1343,Drunk On Your Love,Brett Eldredge,2016,94,35.0,12.0,1,94,1.0,83,15.0
1344,Dude,Beenie Man,2004,99,26.0,19.0,1,99,1.0,46,26.0
1345,Duele El Corazon,Enrique Iglesias,2016,86,82.0,3.0,1,98,8.0,98,8.0
1346,Duffle Bag Boy,Playaz Circle,2007,91,15.0,12.0,1,91,1.0,76,20.0
1347,Dura,Daddy Yankee,2018,81,43.0,14.0,2,81,1.0,57,21.0
1348,Dusk Till Dawn,Zayn,2017,44,44.0,1.0,1,99,15.0,94,16.0
1349,Dust,Eli Young Band,2014,99,79.0,7.0,1,100,3.0,96,9.0
1350,Dynamite,Taio Cruz,2010,26,2.0,10.0,3,48,47.0,48,47.0
1351,E,Pro,2005,77,65.0,4.0,1,96,10.0,96,10.0
1352,E.I.,Nelly,2000,71,15.0,15.0,1,71,1.0,38,20.0
1353,E.T.,Katy Perry,2010,42,1.0,7.0,5,47,30.0,47,30.0
1354,EW!,Jimmy Fallon,2014,26,26.0,1.0,1,89,2.0,89,2.0
1355,Earfquake,"Tyler, The Creator",2019,13,13.0,1.0,1,46,6.0,46,6.0
1356,Earth,Lil Dicky,2019,17,17.0,1.0,1,91,6.0,91,6.0
1357,Easier,5 Seconds Of Summer,2019,48,48.0,1.0,1,64,5.0,64,5.0
1358,Eastside,"benny blanco, Halsey, Khalid",2018,56,9.0,26.0,1,56,1.0,35,50.0
1359,Easy,Paula DeAnda,2007,96,64.0,8.0,1,96,1.0,90,11.0
1360,Easy,Rascal Flatts,2011,87,43.0,16.0,3,87,1.0,48,23.0
1361,Easy,Sheryl Crow,2013,99,72.0,8.0,1,99,1.0,72,8.0
1362,Echame La Culpa,"Luis Fonsi, Demi Lovato",2017,47,47.0,1.0,1,99,16.0,91,19.0
1363,Echo,Gorilla Zoe,2009,82,57.0,6.0,1,97,9.0,97,9.0
1364,Eenie Meenie,"Sean Kingston, Justin Bieber",2010,30,15.0,6.0,1,100,18.0,100,18.0
1365,Ego,Beyonce,2009,77,39.0,9.0,1,86,17.0,86,17.0
1366,Eight Second Ride,Jake Owen,2009,95,70.0,5.0,1,95,1.0,94,13.0
1367,Either Way,Chris Stapleton,2017,89,89.0,1.0,1,97,2.0,97,2.0
1368,El Amante,Nicky Jam,2017,99,92.0,11.0,2,100,14.0,99,15.0
1369,El Cerrito Place,Kenny Chesney,2012,92,72.0,9.0,1,92,1.0,85,13.0
1370,El Farsante,"Ozuna, Romeo Santos",2018,92,49.0,2.0,1,100,17.0,91,20.0
1371,El Perdon,"Nicky Jam, Enrique Iglesias",2015,66,56.0,25.0,2,95,3.0,56,30.0
1372,Electric Body,A$AP Rocky,2015,80,80.0,1.0,1,97,2.0,97,2.0
1373,Electrical Storm,U2,2002,77,77.0,1.0,2,100,7.0,100,7.0
1374,Electricity,"Silk City, Dua Lipa",2018,96,62.0,7.0,2,99,4.0,90,10.0
1375,Element.,Kendrick Lamar,2017,16,16.0,1.0,1,100,10.0,98,11.0
1376,Elevate,Drake,2018,14,14.0,1.0,1,67,3.0,67,3.0
1377,Elevator,Flo Rida,2008,100,16.0,3.0,1,100,1.0,83,13.0
1378,Ella Quiere Beber,"Anuel AA, Romeo Santos",2018,86,61.0,12.0,1,97,5.0,83,20.0
1379,Emotion,Destiny's Child,2001,65,10.0,10.0,1,85,20.0,85,20.0
1380,Emotional,Carl Thomas,2000,77,47.0,6.0,1,99,20.0,99,20.0
1381,Emotional Rollercoaster,Vivian Green,2003,83,39.0,7.0,1,96,18.0,96,18.0
1382,Emotionless,Drake,2018,8,8.0,1.0,1,99,4.0,99,4.0
1383,Emperor's New Clothes,Panic! At The Disco,2015,68,68.0,1.0,1,98,2.0,96,4.0
1384,Empire,Shakira,2014,58,58.0,1.0,1,97,4.0,86,12.0
1385,Empire State Of Mind,Glee Cast,2010,21,21.0,1.0,1,94,2.0,94,2.0
1386,Empire State Of Mind,Jay,2009,50,1.0,10.0,5,50,1.0,47,30.0
1387,Empty,Juice WRLD,2019,41,41.0,1.0,1,99,3.0,99,3.0
1388,Encore,"Eminem, Dr. Dre, 50 Cent",2004,60,25.0,7.0,1,85,15.0,85,15.0
1389,End Game,Taylor Swift,2017,86,18.0,8.0,1,91,13.0,91,13.0
1390,Energy,Drake,2015,49,26.0,2.0,1,86,16.0,82,20.0
1391,Energy,Keri Hilson,2008,90,78.0,5.0,1,92,9.0,92,9.0
1392,Energy,Natalie,2005,87,66.0,5.0,1,87,1.0,86,8.0
1393,Enough Of No Love,Keyshia Cole,2012,94,84.0,7.0,1,94,1.0,90,9.0
1394,Entourage,Omarion,2006,85,78.0,2.0,1,96,5.0,96,5.0
1395,Envy Me,Calboy,2018,91,31.0,19.0,1,98,2.0,47,27.0
1396,Epiphany,Chrisette Michele,2009,92,89.0,2.0,1,99,3.0,99,3.0
1397,Erase Me,Kid Cudi,2010,22,22.0,1.0,1,97,5.0,97,5.0
1398,Escapate Conmigo,Wisin,2017,89,63.0,11.0,1,96,2.0,76,20.0
1399,Escape,Enrique Iglesias,2002,70,12.0,10.0,1,70,1.0,57,20.0
1400,Esskeetit,Lil Pump,2018,24,24.0,1.0,1,88,12.0,88,12.0
1401,Evacuate The Dancefloor,Cascada,2009,80,25.0,17.0,2,80,1.0,46,26.0
1402,Even If It Breaks Your Heart,Eli Young Band,2012,91,29.0,15.0,1,91,1.0,43,20.0
1403,Ever The Same,Rob Thomas,2006,92,48.0,12.0,1,99,3.0,62,20.0
1404,Every Day,Rascal Flatts,2008,98,45.0,9.0,1,98,1.0,90,17.0
1405,Every Girl,Young Money,2009,96,10.0,7.0,1,96,1.0,79,20.0
1406,Every Little Thing,Carly Pearce,2017,94,50.0,12.0,1,98,2.0,84,17.0
1407,Every Mile A Memory,Dierks Bentley,2006,95,48.0,11.0,1,95,1.0,86,16.0
1408,Every Other Time,LFO,2001,65,44.0,5.0,1,99,18.0,99,18.0
1409,Every River,"Brooks, Dunn",2002,75,75.0,1.0,2,99,5.0,99,5.0
