,Unnamed: 0,X,GrammyAward,GrammyYear,Genre,Name,Artist,Artists,number_artists
125,169,168,Best Female Pop Vocal Performance,2010,Pop,bad romance,Lady Gaga,Lady Gaga,1
126,170,169,Best Male Pop Vocal Performance,2010,Pop,just the way you are,Bruno Mars,Bruno Mars,1
127,172,171,Best Pop Collaboration With Vocals,2010,Pop,imagine,"Herbie Hancock, Pink, Indiaarie, Seal, Konono No 1, Jeff Beck & Oumou Sangare",Ariana Grande,1
128,172,171,Best Pop Collaboration With Vocals,2010,Pop,imagine,"Herbie Hancock, Pink, Indiaarie, Seal, Konono No 1, Jeff Beck & Oumou Sangare",Jack Johnson,1
129,177,176,Best Female R&B Vocal Performance,2010,R&B,bittersweet,Fantasia,Fantasia,1
130,178,177,Best Male R&B Vocal Performance,2010,R&B,there goes my baby,Usher,Charlie Wilson,1
131,178,177,Best Male R&B Vocal Performance,2010,R&B,there goes my baby,Usher,Usher,1
132,179,178,Best R&B Performance By A Duo Or Group With Vocals,2010,R&B,soldier of love,Sade,Sade,1
133,181,180,Best R&B Song,2010,R&B,shine,John Legend & the Roots,Lil' Wayne,1
134,385,384,Best Female Country Vocal Performance,2001,Country,shine,Dolly Parton,Lil' Wayne,1
135,182,181,Best Rap Solo Performance,2010,Rap,not afraid,Eminem,Eminem,1
136,183,182,Best Rap Performance By A Duo Or Group,2010,Rap,on to the next one,Jay-z & Swizz Beatz,Jay,1
137,184,183,Best Rap Song,2010,Rap,empire state of mind,"Burt Keyes & Sylvia Robinson, Songwriters",Glee Cast,1
138,184,183,Best Rap Song,2010,Rap,empire state of mind,"Burt Keyes & Sylvia Robinson, Songwriters",Jay,1
139,185,184,Best Female Country Vocal Performance,2010,Country,the house that built me,Miranda Lambert,Miranda Lambert,1
140,189,188,Record Of The Year,2009,General,use somebody,Kings of Leon,Kings Of Leon,1
141,198,197,Best Rock Song,2009,Rock,use somebody,Kings of Leon,Kings Of Leon,1
142,191,190,Best Female Pop Vocal Performance,2009,Pop,halo,beyoncé,Beyonce,1
143,193,192,Best Pop Performance By A Duo Or Group With Vocals,2009,Pop,i gotta feeling,The Black Eyed Peas,The Black Eyed Peas,1
144,194,193,Best Pop Collaboration With Vocals,2009,Pop,lucky,Jason Mraz & Colbie Caillat,Britney Spears,1
145,194,193,Best Pop Collaboration With Vocals,2009,Pop,lucky,Jason Mraz & Colbie Caillat,"Jason Mraz, Colbie Caillat",2
146,195,194,Best Dance Recording,2009,Dance/Electronic Music,poker face,Lady Gaga,Glee Cast,1
147,195,194,Best Dance Recording,2009,Dance/Electronic Music,poker face,Lady Gaga,Lady Gaga,1
